filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2009,2013,DZA,ARB/09/14,"Maersk Olie, Algeriet A/S v. People's Democratic Republic of Algeria",NA,3,1,2,DNK,settlement,1,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Denmark-Algeria BIT,Oil and gas,OIL,Over US$11b,11000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2013,KAZ,(SCC Case No. 116/2010),"Anatolie Stati, Gabriel Stati, Ascom Group SA & Terra Raf Trans Traiding vs. Kazakhstan",1,1,0,0,MDA,investor,0,,0,ROM,GIB,n.a.,n.a.,SCC,Energy Charter Treaty,Oil and gas (exploration),OIL,US$2631m,2631,yes,US$497m (claimant to pay two thirds of arbitration cost and half of Claimant's legal costs),497,n.a.,n.a.,n.a.,n.a.
2012,2013,LTU,n.a.,OAO Gazprom v. The Republic of Lithuania,NA,0,NA,NA,RUS,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICC,Lithuania-Russian Federation BIT,Electric power concession,UTL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2010,2013,MDA,n.a.,Energoalians SARL v. Republic of Moldova,0,-999,NA,NA,UKR,investor,0,,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Moldova-Ukraine BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,US$49m,49,n.a.,n.a.,n.a.,n.a.
2011,2013,NGA,ARB/11/11,AHS Niger and Menzies Middle East and Africa S.A. v. Republic of Niger,NA,1,0,0,BELLUX,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Nigerian Investment Code, Contract",Airport (baggage handling),SER,unknown,unknown,yes,EUR4.6m,6.1,no,n.a.,n.a.,n.a.
2011,2013,PER,ARB/11/9,Caraveli Cotaruse Transmisora de Energia S.A.C. v. Republic of Peru,NA,3,1,2,ESP,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession,UTL,US$100m,100,yes,0,0,no,n.a.,n.a.,n.a.
2012,2013,SVK,ARB/12/7,"Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH v. Slovak Republic",0,3,1,2,DEU,settlement,1,,0,NLD,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2013,TKM,n.a.,Farouk Bozbey v. Turkmenistan,0,3,1,2,TUR,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Turkey-Turkmenistan BIT,Agricultural enterprise,AGR,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,2013,VNM,n.a.,Michael L. McKenzie v. Vietnam,0,3,1,2,USA,state,0,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,United States-Vietnam Trade Relations Treaty,Tourism (resort),SER,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,2013,KAZ,n.a.,Ruby Roz Agricol and Kaseem Omar v. Kazakhstan,0,1,0,0,KAZ,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Kazakhstan Investment Law (1994),Agricultural enterprise (poultry),AGR,US$214.7m,214.7,yes,0,0,n.a.,n.a.,n.a.,n.a.
2011,2013,LBY,n.a.,Mohamed Abdulmohsen Al-Kharafi & Sons Co. v. Libya and others,0,0,NA,NA,KWT,investor,0,,0,n.a.,n.a.,n.a.,n.a.,CRCICA,Mohamed Abdulmohsen Al-Kharafi & Sons Co. v. Libya and others,Tourism,SER,US$1144.9m,1144.9,yes,US$935m,935,yes,2014,2014,upheld
2008,2013,USA,(ICSID Case No. UNCT/10/2),Apotex Inc v. United States of America (2008),0,3,1,2,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Pharmaceuticals,MFG,Two claims of US$8m,16,yes,0,0,n.a.,n.a.,n.a.,n.a.
2009,2013,USA,n.a.,Apotex Inc v. United States of America (2009),0,3,1,2,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Pharmaceuticals,MFG,US$8m,8,yes,0,0,n.a.,n.a.,n.a.,n.a.
2009,2013,KHM,ARB/09/18,Cambodia Power Company v. Kingdom of Cambodia,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession,UTL,US$65m,65,yes,0,0,no,n.a.,n.a.,n.a.
2010,2013,VEN,ARB/10/14,Opic Karimun Corporation v. Bolivarian Republic of Venezuela,0,0,NA,NA,TWN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Venezuela Investment Law (1999),Oil and gas (exploration),OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2011,2013,ALB,ARB/11/18,Burimi SRL and Eagle Games SH.A v. Republic of Albania,0,1,0,0,ITA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Albania-Italy BIT, Albania Investment Law (1993)",Gaming,SER,"Albanian Lek 1,034,794,456 plus interest",10.2,yes,0,0,no,n.a.,n.a.,n.a.
2004,2013,ARG,ARB/04/1,Total S.A. v. Argentine Republic,0,3,1,2,FRA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,France-Argentina BIT,Electric power concession (gas),UTL,Approximately US$1b,1000,yes,unknown,unknown,yes,2014,pending,pending
2010,2013,BGR,6/1/2011,ST-AD GbmH v. Bulgaria,0,1,0,0,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Germany-Bulgaria BIT,Textile enterprise,MFG,unknown,unknown,yes,0,0,yes,2013,2013,upheld
2011,2013,CMR,CONC/11/1,RSM Production Corporation v. Republic of Cameroon,0,0,NA,NA,USA,unknown,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2013,CZE,5/1/2010,ECE Projektmanagement v. The Czech Republic,0,0,NA,NA,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Czech Republic-Germany BIT,Real estate (commercial),RE,?_70289m,80.8,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,2013,GTM,ARB/10/23,"TECO Guatemala Holdings, LLC v. Republic of Guatemala",0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,CAFTA-DR,Electric power concession,UTL,US$222484783,222.5,yes,"US$21.1m, plus interest (plus legal costs of US$7.52m)",21.1,yes,2014,pending,pending
2009,2013,KAZ,ARB/09/8,KT Asia Investment Group B.V. v. Republic of Kazakhstan,0,1,0,0,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan-Netherlands BIT,Banking,FIN,Range: Between US$500m and US$1.5b,500,yes,0,0,yes,2014,2014,discontinued
2010,2013,KAZ,ARB/10/16,AES Corporation and Tau Power B.V. v. Republic of Kazakhstan,0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Kazakhstan-United States BIT, Kazakhstan Investment Law (1994), Energy Charter Treaty",Electric power concession,UTL,US$1.29b,1290,yes,0,0,no,n.a.,n.a.,n.a.
2011,2013,MDA,ARB/11/23,Mr. Franck Charles Arif v. Republic of Moldova,0,-999,NA,NA,FRA,investor,0,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,France-Moldova BIT,Retail (duty free stores),SER,"Range: Between ?_21.5m and ?_38.3m, plus interest",28.8,yes,Moldovan Lei 35136294,1.7,no,n.a.,n.a.,n.a.
2012,2013,MDA,V091/2012,Grand Torg SRL v. Moldova (also known as Yuri Bogdanov and Yulia Bodganova v. Republic of Moldova),0,-999,NA,NA,RUS,state,0,,NA,n.a.,n.a.,n.a.,n.a.,SCC,Moldova-Russian Federation BIT,Manufacturing (chemical products),MFG,US$150000,0.2,yes,0,0,n.a.,n.a.,n.a.,n.a.
2012,2013,MDA,V091/2012,Yuri Bogdanov and Yulia Bogdanova v. Republic of Moldova (IV),0,-999,NA,NA,RUS,state,0,,NA,n.a.,n.a.,n.a.,n.a.,SCC,Moldova-Russia BIT,Manufacturing (paint),MFG,MDL1.5m,0.12,yes,0,0,no,n.a.,n.a.,n.a.
2009,2013,MEX,ARB(AF)/09/2,"Abengoa, S.A. y COFIDES, S.A. v. United Mexican States",0,2,NA,1,ESP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Mexico-Spain BIT,Waste management (hazardous),SER,unknown,unknown,yes,"Mexican Pesos 491809534, plus interest",37.7,no,n.a.,n.a.,n.a.
2010,2013,PER,ARB/10/2,Convial Callao SA and CCI - Compania de Concesiones de Infraestructura SA v. Republic of Peru,0,3,1,2,ARG,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Peru BIT,Highway construction project,UTL,At least US$114.5m,114.5,yes,0,0,no,n.a.,n.a.,n.a.
2005,2013,ROM,ARB/05/20,"Ioan Micula, Viorel Micula, S.C. European Food SA, S.C. Starmill SRL & S.C. Multipack SRL v. Romania",0,0,NA,NA,SWE,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Romania-Sweden BIT,"Manufacturing (food, milling, plastic packaging)",MFG,unknown,unknown,yes,"Romanian Lei 376.4m, plus interest (parties to pay their own legal costs and split the cost of arbitration)",0.1,yes,2014,pending,pending
2010,2013,ROM,ARB/10/13,"Hassan Awdi, Enterprise Business Consultants, Inc. & Alfa El Corporation v. Romania",0,0,NA,NA,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Romania-United States BIT,Consulting services,SER,Approximately ?_407.7m,502.4,yes,EUR7.7m,8.6,no,n.a.,n.a.,n.a.
2006,2013,ROM,ARB/06/3,Rompetrol Group NV v. Romania,0,0,NA,NA,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Romania BIT,Oil and gas,OIL,At least US$100m,100,yes,0,0,no,n.a.,n.a.,n.a.
2010,2013,ROM,ARB/10/22,Omer Dede and Serdar Elhuseyni v. Romania,0,0,NA,NA,TUR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Romania-Turkey BIT,Manufacturing (machinery),MFG,Approximately ?_2m,2.8,yes,0,0,no,n.a.,n.a.,n.a.
2010,2013,TKM,ARB/10/1,Kilic Insaat Ithalat Ihracat Sanayi ve Ticaret Anonim Sirketi v. Turkmenistan,0,3,1,2,TUR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-Turkmenistan BIT,Construction,RE,unknown,unknown,yes,0,0,yes,2013,2015,upheld
2010,2013,UZB,ARB/10/3,Metal-Tech Ltd. v. Republic of Uzbekistan,0,0,NA,NA,ISR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Israel-Uzbekistan BIT,Manufacturing (molybdenum products),MFG,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2004,2013,VEN,ARB(AF)/04/6,Vannessa Ventures Ltd v. Bolivarian Republic of Venezuela,0,0,NA,NA,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Canada-Venezuela BIT,Mining (gold and copper),MIN,US$1.04m,1,yes,0,0,no,n.a.,n.a.,n.a.
2011,2013,VEN,ARB/11/1,Highbury International AVV and Ramstein Trading Inc. v. Bolivarian Republic of Venezuela,0,0,NA,NA,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Mining (gold and diamond),MIN,At least US$633m,633,yes,0,0,yes,2014,pending,pending
2010,2013,LTU,n.a.,Luigiterzo Bosca v. Lithuania,1,0,NA,NA,ITA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Lithuania-Italy BIT,Brewery,MFG,US$250m,250,yes,No award. Respondent to bear all of the arbitration costs and 80% of the Claimant??s legal costs.,0,n.a.,n.a.,n.a.,n.a.
2010,2013,VEN,ARB/10/9,"Universal Compression International Holdings, S.L.U. v. Bolivarian Republic of Venezuela",1,0,NA,NA,ESP,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Spain-Venezuela BIT,Oil and gas,OIL,US$1200m,1200,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,2014,ALB,n.a.,CEZ v. The Republic of Albania,NA,3,1,2,CZE,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Energy Charter Treaty,Electric power concession,UTL,?_200m,267,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,2014,ARG,ARB/12/38,"Repsol, S.A. and Repsol Butano, S.A. v. Argentine Republic",1,3,1,2,ESP,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Oil and gas,OIL,US$10bn,10000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2014,ECU,n.a.,Global Net-Unete Telecomunicaciones S.A. and Clay Pacific S.R.L. v. Republic of Ecuador,0,3,1,2,BOL,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Bolivia-Ecuador BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2014,EGY,ARB/11/16,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E. v. Arab Republic of Egypt",NA,0,NA,NA,ARE,unknown,NA,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Arab Emirates BIT,Tourism,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,2014,IDN,ARB/14/15,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara v. Republic of Indonesia,NA,0,NA,NA,NLD,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Indonesia-Netherlands BIT,Mining (copper and gold),MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2014,IRN,n.a.,Turkcell v. Iran,0,0,NA,NA,TUR,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Iran-Turkey BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2013,2014,KGZ,A-2013/10,OKKV (OKKB) and others v. Kyrgyz Republic,0,0,NA,NA,RUS,investor,0,,0,n.a,n.a.,n.a.,n.a.,MCC,Moscow Convention for the Protection of Investors?? Rights,Tourism,SER,US$2343862,2.3,yes,US$2.2m,2.2,n.a.,n.a.,n.a.,n.a.
2013,2014,KGZ,n.a.,Lee John Beck and Central Asian Development Corporation v. Kyrgyz Republic,0,0,NA,NA,KOR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,MCC,Moscow Convention for the Protection of Investors?? Rights,unknown,unknown,unknown,unknown,yes,US$23m,23,n.a.,n.a.,n.a.,n.a.
2012,2014,LAO,ARB(AF)/12/6,Lao Holdings N.V. v. Lao People's Democratic Republic,0,3,1,2,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Laos-Netherlands BIT,Tourism (resort),SER,Not less than US$400m,400,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,2014,LVA,n.a., Bryn Services Ltd v. Latvia,NA,0,NA,NA,CHE,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICC,Switzerland-Latvia BIT,Banking,FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2014,PRY,ARB/07/9,"Bureau Veritas, Inspection, Valuation, Assestment and Control, BIVAC BV v. Republic of Paraguay",0,1,0,0,NLD,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Paraguay BIT,Consulting services,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,2014,SVK,6/1/2013,U.S. Steel Global Holdings I B.V. v. Slovak Republic,NA,3,1,2,NLD,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,PCA,Netherlands-Slovakia BIT,Steel production,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,2014,TUN,ARB/13/15,Lundin Tunisia B. V. v. Republic of Tunisia,NA,0,NA,NA,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2012,2014,UZB,ARB(AF)/12/7,Mobile TeleSystems OJSC v. Republic of Uzbekistan,NA,0,NA,NA,RUS,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Uzbekistan Investment Law (1998),Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2014,VEN,ARB(AF)/11/1,Nova Scotia Power Incorporated v. Bolivarian Republic of Venezuela,NA,0,NA,NA,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Canada-Venezuela BIT,Electric power concession (coal),UTL,US$180m,180,yes,0,0,no,n.a.,n.a.,n.a.
2011,2014,VNM,n.a.,Dialasie SAS v. Vietnam,0,3,1,2,FRA,state,0,,1,n.a.,n.a.,n.a.,n.a.,PCA,France-Vietnam BIT,Health services (clinic),SER,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,2014,ZAR,ARB/10/4,Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud v. Democratic Republic of the Congo,NA,0,NA,NA,LBN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of) Domestic Investment Law,Import/Export,SER,"Claimant enumerates three requests: US$763978, plus US$841,022, plus US$17645000",19.4,yes,"US$1.73m with interest and tax, legal costs not specified",1.7,yes,2014,pending,pending
2014,2014,CZE,n.a.,Forminster Enterprises Limited v. Czech Republic,0,0,NA,NA,CYP,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Cyprus-Czech Republic BIT,Retail (department store),SER,Approximately ?_29m,39,yes,0,0,n.a.,n.a.,n.a.,n.a.
2011,2014,IDN,n.a.,Hesham T. M. Al Warraq v. Republic of Indonesia,0,n.a.,NA,NA,SAU,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,"Agreement on Promotion, Protection and Guarantee of Investments among Member States of the Organisation of the Islamic Conference",Banking,FIN,US$9671060,9.7,yes,0,0,n.a.,n.a.,n.a.,n.a.
2011,2014,KGZ,n.a.,Valeri Belokon v. Kyrgyz Republic,0,0,NA,NA,LVA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Kyrgyzstan-Latvia BIT,Banking ,FIN,US$100m,100,yes,US$15,15,yes,unknown,n.a.,n.a.
2013,2014,KGZ,n.a.,Stans Energy v. Kyrgyz Republic,0,0,NA,NA,CAN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,MCC,Moscow Convention for the Protection of Investors?? Rights,Mining (rare earths),MIN,US$117.8m,117.8,yes,US$118m,118,n.a.,n.a.,n.a.,n.a.
2014,2014,CAN,n.a.,J.M. Longyear LLC v. Canada,0,1,0,0,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Lumber,AGR,CAD12m,10.9,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,2014,ARG,ARB/04/4,SAUR International SA v. Argentine Republic,0,3,1,2,FRA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Water and sewage concession,UTL,unknown,unknown,yes,"US$39.99m, plus interest (US$685k plus ?_1.49m for legal costs)",40,yes,2014,pending,pending
2009,2014,BLZ,2010-18,British Caribbean Bank (BCB) v. Belize,0,1,0,0,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,UK-Belize BIT,Telecommunications,TEL,US$45170733.86,45.2,yes,Approximately US$40m as well as legal fees,40,n.a.,n.a.,n.a.,n.a.
2011,2014,EGY,ARB/11/7,National Gas S.A.E. v. Arab Republic of Egypt,0,0,NA,NA,EGY,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Arab Emirates BIT,Oil and gas (distribution),OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2011,2014,HUN,ARB/11/22,Vigotop Limited v. Hungary,0,1,0,0,CYP,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Hungary BIT,Tourism (resort),SER,Range: Between ?_278.3m and ?_312.6m,382.5,yes,0,0,no,n.a.,n.a.,n.a.
2012,2014,HUN,ARB/12/2,"Emmis International Holding B.V., Emmis Radio Operating B.V., MEM Magyar Electronic Media Kereskedelmi Szolgaltat?? Kft. v. Hungary",0,1,0,0,NLD,state,0,,0,CHE,n.a.,n.a.,n.a.,ICSID,"Hungary-Netherlands BIT, Hungary-Switzerland BIT",Broadcasting enterprise (radio),TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2011,2014,IDN,ARB/11/13,Rafat Ali Rizvi v. Republic of Indonesia,0,0,NA,NA,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Indonesia-United Kingdom BIT,Banking,FIN,unknown,unknown,yes,0,0,yes,2013,pending,pending
2013,2014,MEX,ARB(AF)/13/2,"Cemusa - Corporacion Europea de Mobiliario Urbano, S.A. and Corporacion Americana de Equipamientos Urbanos, S.L. v. United Mexican States",0,2,NA,1,ESP,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Spain-Mexico BIT,Media (advertising),SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2014,PER,ARB/10/17,Renee Rose Levy de Levi v. Republic of Peru,0,3,1,2,FRA,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,France-Peru BIT,Banking,FIN,US$4.036m (plus interest at 11.11%) for material damages and $2.953m for moral damages,7,yes,0,0,yes,2014,2014,discontinued
2011,2014,PHL,ARB/11/12,Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines,0,2,NA,1,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Philippines BIT,Airport,SER,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2012,2014,POL,1/1/2013,Enkev Beheer B.V. v. The Republic of Poland,0,2,NA,1,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Netherlands-Poland BIT,Manufacturing,MFG,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2005,2014,RUS,AA227,Yukos Universal Ltd. v. Russian Federation,0,2,NA,1,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Energy Charter Treaty,Oil and gas,OIL,US$4.666b,4666,yes,US$1.85b (plus ?_156k and US$2.21m for legal costs),1850,n.a.,n.a.,n.a.,n.a.
2005,2014,RUS,AA226,Hulley Enterprises Ltd. v. Russian Federation,0,2,NA,1,CYP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Energy Charter Treaty,Oil and gas,OIL,US$93.229b,93229,yes,US$39.97b (and ?_3.4m plus US$47.9m for legal costs),39970,n.a.,n.a.,n.a.,n.a.
2005,2014,RUS,AA228,Veteran Petroleum Ltd. v. Russian Federation,0,2,NA,1,CYP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,PCA,Energy Charter Treaty,Oil and gas,OIL,US$16.279b,16279,yes,"US$8.20b, plus legal costs (enumerated at ?_695k plus US$9.84m)",8200,n.a.,n.a.,n.a.,n.a.
2011,2014,TUR,ARB/11/28,Tulip Real Estate and Development Netherlands B.V. v. Republic of Turkey,0,0,NA,NA,NLD,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Turkey BIT,Real estate (residential and commercial),RE,Approximately US$300m,300,yes,0,0,yes,2014,2015,upheld
2012,2014,USA,ARB(AF)/12/1,Apotex Holdings Inc. and Apotex Inc. v. United States of America,0,3,1,2,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Pharmaceuticals,MFG,At least $520 million,520,yes,0,0,no,n.a.,n.a.,n.a.
2014,2014,MDA,EA2014/053,TSIKinvest LLC v. Republic of Moldova,1,n.a.,NA,NA,RUS,Discontinued,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,SCC Emergency Arbitration,Moldova-Russian Federation BIT,Financial industry,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,2014,UKR,n.a.,Tatneft v. Ukraine,1,2,NA,1,RUS,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Ukraine-Russia BIT,Oil and gas,OIL,US$2.4b,2400,yes,"US$112m, plus interest",112,n.a.,n.a.,n.a.,n.a.
2010,2014,BOL,2011-17,Guaracachi America Inc. & Rurelec PLC v. Plurinational State of Bolivia,1,3,1,2,GBR,investor,0,,0,USA,n.a.,n.a.,n.a.,PCA,"Bolivia-United States BIT, Bolivia-United Kingdom BIT",Electric power concession,UTL,"Enumerated two claims: US$142.3m and $661.5k, plus interest and costs of arbitration",143,yes,"US$28.9m (parties pay their own legal fees, costs of arbitration split)",28.9,n.a.,n.a.,n.a.,n.a.
2012,2014,GIN,ARB/12/8,Societe Industrielle des Boissons de Guinee v. Republic of Guinea,1,0,NA,NA,FRA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Guinean Investment Law (1987), Contract",Beverage production enterprise,MFG,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2011,2014,KAZ,ARB/11/2,Turkiye Petrolleri Anonim Ortakligi v. Republic of Kazakhstan,1,1,0,0,TUR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Turkey-Kazakhstan BIT, Energy Charter Treaty",Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,2014,PER,ARB/12/5,Elecnor S.A. and Isolux Cors??n Concesiones S.A. v. Republic of Peru,1,3,1,2,ESP,settlement,1,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Spain-Peru BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2014,POL,ARB(AF)/10/1,David Minnotte and Robert Lewis v. Republic of Poland,1,2,NA,1,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ISCID AF,Poland-United States BIT,Health services (Blood treatment & processing facility),SER,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2007,2014,VEN,ARB/07/27,"Mobil Corporation, et al v. Bolivarian Republic of Venezuela",1,0,NA,NA,NLD,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Oil and gas,OIL,unknown,unknown,yes,"US$1.62b plus interest and tax, Respondent to pay legal costs of proceedings and Claimant's legal costs",1620,yes,2014,pending,pending
