end (Year end),host (Host state ISO3),filed (Year filed),execme_end,execme_filed,v2pariglef_filed,v2pariglef_filed_dummy,v2pariglef_end_dummy,winner,state_lose,settled,v2pariglef_filed_ref,direct,v2pariglef_end,v2pariglef_end_ref1,v2pariglef_end_ref2,caseno (Case no.),parties (Parties to arbitration),direct2,execrlc,execrlc_dummy2,execrlc_dummy,execrlc_count,home (Home state ISO3),partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
pending,KOR,2015,NA,NFP,5,0,NA,pending,NA,NA,LKP; 5 (2016),NA,NA,,,n.a.,Mohammad Reza Dayyani and others v. Republic of Korea,NA,n.a.,NA,NA,NA,IRN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Islamic Republic of Iran-Republic of Korea BIT,Manufacturing (electronics),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,LVA,2012,NA,Unity,4,0,NA,pending,NA,NA,V,0,NA,,,ARB/12/33,UAB E energija (Lithuania) v. Republic of Latvia,1,n.a.,NA,NA,NA,LTU,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Latvia-Lithuania BIT,Electric power concession,UTL,EUR7m,8.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MDA,2012,NA,PDM,3.166,0,NA,pending,NA,NA,,0,NA,,,V2012/175,Energoalians SARL v. Republic of Moldova,1,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,SCC,"Moldova-Ukraine BIT, Energy Charter Treaty",Electric power concession,UTL,US$1.7m,1.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2015,NA,PRI,4,0,NA,pending,NA,NA,,0,NA,,,ARB(AF)/15/2,Lion Mexico Consolidated L.P. v. United Mexican States,1,n.a.,NA,NA,NA,CAN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Construction,UTL,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2013,NA,PRI,4,0,NA,pending,NA,NA,,NA,NA,,,n.a.,Degremont v. United Mexican States,NA,n.a.,NA,NA,NA,FRA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,unknown,Mexico-France BIT,Wastewater treatment services,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2013,NA,PRI,4,0,NA,pending,NA,NA,,NA,NA,,,n.a.,Livsmart Holdings v. United Mexican States,NA,n.a.,NA,NA,NA,PAN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,unknown,Mexico-Panama BIT,Import (beverages),SER,US$15m,15,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2013,NA,PRI,4,0,NA,pending,NA,NA,,NA,NA,,,n.a.,KBR Inc. v. United Mexican States,NA,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICC,NAFTA,Oil and gas,OIL,US$400m,400,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2014,NA,PRI,4,0,NA,pending,NA,NA,,NA,NA,,,n.a.,"FCC Construccion, S.A. v. United Mexican States",NA,n.a.,NA,NA,NA,ESP,n.a.,NA,n.a.,n.a.,n.a.,n.a.,unknown,Mexico-Spain BIT,"Tunnel (build, operate)",UTL,MXN1299m,100.4,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2014,NA,PRI,4,0,NA,pending,NA,NA,,NA,NA,,,n.a.,B-Mex LLC et al v. United Mexican States,NA,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Gaming,SER,US$100m,100,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2015,NA,PRI,4,0,NA,pending,NA,NA,,NA,NA,,,n.a.,"Shanara Maritime International, S.A. and Marfield Ltd. Inc. v. United Mexican States",NA,n.a.,NA,NA,NA,PAN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,n.a.,Mexico-Panama BIT,Transportation (maritime),UTL,US$408m,408,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MEX,2012,NA,PAN,4.636,0,NA,pending,NA,NA,,0,NA,,,ARB(AF)/12/4,Telefonica S.A. v. United Mexican States,1,n.a.,NA,NA,NA,ESP,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,Mexico-Spain BIT,Telecommunications (mobile),TEL,More than US$1b,1000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,MRT,2014,NA,UPR,5,0,NA,pending,NA,NA,,NA,NA,,,ARB/14/23,Tamagot Bumi S.A. and Bumi Mauritania S.A. v. Islamic Republic of Mauritania,NA,n.a.,NA,NA,NA,unknown,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract, Mauritania Investment Law",Mining (iron ore),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,PAN,2013,NA,AC,4,0,NA,pending,NA,NA,CD,0,NA,,,ARB/13/28,"Transglobal Green Energy LLC and Transglobal Green Panama, S.A. v. Panama",1,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Panama-United States BIT,Electric power and hydrocarbon concession,UTL,US$2500m,2500,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,PAN,2014,NA,AC,4,0,NA,pending,NA,NA,,NA,NA,,,ARB/14/33,"IBT Group LLC., Constructor, Consulting and Engineering (Panama), S.A., and International Business and Trade, LLC. V. Republic of Panama",NA,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Panama-United States BIT,Manufacturing (asphalt),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,PAN,2015,NA,PP,4,0,NA,pending,NA,NA,PAP,NA,NA,,,ARB/15/14,Alvarez y Marin Corporation S.A and others v. Republic of Panama,NA,n.a.,NA,NA,NA,CRI,n.a.,NA,NLD,n.a.,n.a.,n.a.,ICSID,"Netherlands Panama BIT, Central America Panama FTA",Tourism,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,PER,2011,NA,PAP,4.667,0,NA,pending,NA,NA,,0,NA,,,UNCT/13/1,"Renco Group, Inc v. Peru",1,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID UNCITRAL,Peru-United States Trade Promotion Agreement,Mining,MIN,US$800m,800,no,n.a.,n.a.,no,n.a.,n.a.,n.a.
pending,PER,2011,NA,PAP,4.667,0,NA,pending,NA,NA,,NA,NA,,,ARB/11/21,"DP World Callao S.R.L., P&O Dover (Holding) Limited, and The Peninsular and Oriental Steam Navigation Company v. Republic of Peru",NA,n.a.,NA,NA,NA,GBR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Peru-United Kingdom BIT, Contract",Port terminal concession,SER,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,PHL,2011,NA,LP,4,0,NA,pending,NA,NA,,NA,NA,,,ARB/11/27,Baggerwerken Decloedt En Zoon NV v. Republic of the Philippines,NA,n.a.,NA,NA,NA,BELLUX,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Philippines BIT,Dredging operations,SER,Philippines Peso 6b,134.01,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,RUS,2015,NA,United Russia,3.033,0,NA,pending,NA,NA,,NA,NA,,,7/1/2015,Aeroport Belbek LLC and Mr Igor Valerievich Kolomoisky v. Russia,NA,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL PCA,Russian-Ukraine BIT,Transportation (air),UTL,US$15m,15,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,RUS,2015,NA,United Russia,3.033,0,NA,pending,NA,NA,,NA,NA,,,AA577,Everest Estate LLC et al v. The Russian Federation,NA,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Real Estate (private),RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,RUS,2015,NA,United Russia,3.033,0,NA,pending,NA,NA,,NA,NA,,,2015-29,Limited Liability Company Lugzor and others v. The Russian Federation,NA,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Real Estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,RUS,2015,NA,United Russia,3.033,0,NA,pending,NA,NA,,NA,NA,,,AA568,Privatbank and Finance Company Finilion LLC v. The Russian Federation,NA,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Banking (finance and services),FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,RUS,2015,NA,United Russia,3.033,0,NA,pending,NA,NA,,NA,NA,,,2015-35,Stabil LLC and others v. The Russian Federation,NA,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Services (petorl station),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,RUS,2015,NA,United Russia,3.033,0,NA,pending,NA,NA,,NA,NA,,,2015-34,PJSC Ukrnafta v. The Russian Federation,NA,n.a.,NA,NA,NA,UKR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Russian-Ukraine BIT,Services (petorl station),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,SDN,2014,NA,NC,3.5,0,NA,pending,NA,NA,NCP,0,NA,,,ARB/14/2,Michael Dagher v. Republic of the Sudan,1,n.a.,NA,NA,NA,JOR,n.a.,NA,LBN,n.a.,n.a.,n.a.,ICSID,"Sudan-Jordan BIT, Sudan-Lebanon BIT",Telecommunications (wireless internet),TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,SLV,2009,NA,ARENA,5,0,NA,pending,NA,NA,,0,NA,,,ARB/09/12,Pac Rim Cayman LLC v. Republic of El Salvador,1,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"CAFTA-DR, El Salvador Investment Law (1999)",Mining (gold and silver),MIN,"US$75m plus uncalculated losses (estimated at no less than an additional $75m), plus interest and legal costs",75,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,SLV,2013,NA,FMLN,5,0,NA,pending,NA,NA,,NA,NA,,,ARB/13/18,Enel Green Power S.p.A. v. Republic of El Salvador,NA,n.a.,NA,NA,NA,ITA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,El Salvador Investment Law (1999),Electric power concession (thermal),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,SVN,2005,NA,SDS,4.75,0,NA,pending,NA,NA,,0,NA,,,ARB/05/24,Hrvatska Elektropriveda d.d. (HEP) v. Republic of Slovenia,1,n.a.,NA,NA,NA,HRV,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession (nuclear),UTL,?_31.7m,35,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,SVN,2013,NA,SDS,5.167,0,NA,pending,NA,NA,,NA,NA,,,ARB/13/10,"Impresa Grassetto S. p. A., in liquidation v. Republic of Slovenia",NA,n.a.,NA,NA,NA,ITA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Slovenia BIT,Highway construction project,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,TUN,2004,NA,RCD,3.5,0,NA,pending,NA,NA,,NA,NA,,,ARB/04/12,ABCI Investments NV v. Republic of Tunisia,NA,n.a.,NA,NA,NA,NLD,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Tunisia BIT, Tunisia Investment Law (1969)",Banking,FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,TUR,2014,NA,AKP,4.7,0,NA,pending,NA,NA,,NA,NA,,,ARB/14/35,Baymina Enerji Anonim Sirketi v. Boru Hatlari ile Petrol Tasima Anonim Sirketi,NA,n.a.,NA,NA,NA,unknown,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession (natural gas),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,TUR,2015,NA,AKP,4.8,0,NA,pending,NA,NA,,NA,NA,,,ARB/15/8,Aktau Petrol Ticaret A.S. and Som Petrol Ticaret A.S. v. Republic of Kazakhstan,NA,n.a.,NA,NA,NA,KAZ,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan Turkey BIT,Transportation,UTL,US$150,150,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,UGA,2012,NA,NRM,4,0,NA,pending,NA,NA,,NA,NA,,,ARB/12/34,Tullow Uganda Operations PTY LTD v. Republic of Uganda,NA,n.a.,NA,NA,NA,GBR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,UGA,2015,NA,NRM,4,0,NA,pending,NA,NA,,NA,NA,,,ARB/15/11,Total E&P Uganda BV v. Republic of Uganda,NA,n.a.,NA,NA,NA,NLD,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Uganda BIT,Oil and gas (mining),OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,USA,2007,NA,Republicans,5,0,NA,pending,NA,NA,,NA,NA,,,n.a.,Domtar Inc. v. United States of America,NA,n.a.,NA,NA,NA,CAN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Manufacturing (paper),MFG,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,VNM,2013,NA,CPV,3.5,0,NA,pending,NA,NA,,NA,NA,,,n.a.,RECOFI v. Vietnam,NA,n.a.,NA,NA,NA,FRA,n.a.,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Vietnam BIT,Food assistance program,AGR,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,YEM,2014,NA,GPC,3.429,0,NA,pending,NA,NA,,NA,NA,,,ARB/14/30,Beijing Urban Construction Group Co. Ltd. V. Republic of Yemen,NA,n.a.,NA,NA,NA,CHN,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,China-Yemen BIT,Airport,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ALB,2014,NA,PSS,2.5,1,NA,pending,NA,NA,,NA,NA,,,ARB/14/26,"Albaniabeg Ambient Sh.p.k, M. Angelo Novelli and Costruzioni S.r.l. v. Republic of Albania",NA,n.a.,NA,NA,NA,ITA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Waste management,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ALB,2015,NA,PSS,2.5,1,NA,pending,NA,NA,,NA,NA,,,ARB/15/28,Hydro S.r.l. and others v. Republic of Albania,NA,n.a.,NA,NA,NA,ITA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Albania-Italy BIT,Electric power consession (hydropower and other renewables),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2007,NA,FPV,1.727,1,NA,pending,NA,NA,,0,NA,,,ARB/07/31,HOCHTIEF Aktiengesellschaft v. Argentine Republic,1,n.a.,NA,NA,NA,DEU,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Germany BIT,Highway construction project,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2007,NA,FPV,1.727,1,NA,pending,NA,NA,,0,NA,,,ARB/07/26,"Urbaser S.A. & Consorcio de Aguas Bilbao Biskaia, Bilbao Biskaia Ur Partzuergoa v. Argentine Republic",1,n.a.,NA,NA,NA,ESP,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Water services concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2007,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,ARB/07/5,Abaclat and Others v. Argentine Republic (formerly Giovanna A. Beccara and others v. Argentine Republic ),NA,n.a.,NA,NA,NA,ITA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Finance (debt instruments),FIN,Approximately US$3.6b,3600,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2007,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,ARB/07/8,"Giovanni Alemanni, et al v. Argentine Republic",NA,n.a.,NA,NA,NA,ITA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Finance (debt instruments),FIN,US$1.2b,1200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2008,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,ARB/08/9,"Ambiente Ufficio S.p.A. and others v. Argentine Republic (formerly Giordano Alpi, et al v. Argentine Republic)",NA,n.a.,NA,NA,NA,ITA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Finance (debt instruments),FIN,US$10m,10,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2014,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,ARB/14/32,Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic,NA,n.a.,NA,NA,NA,AUT,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Austria BIT,Gaming,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2015,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,ARB/15/48,"Abertis Infraestructuras, S.A. v. Argentine Republic",NA,n.a.,NA,NA,NA,ESP,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Transportation (toll roads),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2015,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,unknown,ICS Inspection and Control Services Limited v. The Argentine Republic (II),NA,n.a.,NA,NA,NA,GBR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom,Services (government financial consulting),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2015,NA,FPV,1.727,1,NA,pending,NA,NA,,NA,NA,,,ARB/15/39,Salini Impregilo S.p.A. v. Argentine Republic,NA,n.a.,NA,NA,NA,ITA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Construction (Highways),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,ARG,2002,FPV,PJ,2.409,1,1,pending,NA,NA,,0,1.557,,,ARB/02/17,AES Corporation v. Argentine Republic,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power concession,UTL,US$750m,750,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
pending,ARG,2003,NA,PJ,2.545,1,NA,pending,NA,NA,,1,NA,,,ARB/03/19,"Suez, Sociedad General de Aguas de Barcelona, SA & Interagua Servicios Integrales de Agua SA v Argentine Republic",0,n.a.,NA,NA,NA,FRA,n.a.,NA,ESP,n.a.,n.a.,n.a.,ICSID,"Argentina-France BIT, Argentina-Spain BIT",Water services concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,ARG,2003,NA,PJ,2.545,1,NA,pending,NA,NA,,1,NA,,,ARB/03/17,"Suez, Sociedad General de Aguas de Barcelona, SA & Interagua Servicios Integrales de Agua SA v. Argentine Republic",0,n.a.,NA,NA,NA,FRA,n.a.,NA,ESP,n.a.,n.a.,n.a.,ICSID,"Argentina-France BIT, Argentina-Spain BIT",Water services concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,ARG,2003,FPV,PJ,2.545,1,1,pending,NA,NA,,NA,1.554,,,ARB/03/2,Camuzzi International SA v. Argentine Republic,NA,n.a.,NA,NA,NA,BELLUX,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Belgium & Luxembourg BIT,Oil and gas,OIL,US$337m,337,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,ARG,2003,FPV,PJ,2.545,1,1,pending,NA,NA,,NA,1.557,,,ARB/03/27,Unisys v. Argentine Republic,NA,3,1,1,2,USA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Software,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
pending,ARG,2004,NA,PJ,2.545,1,NA,pending,NA,NA,,NA,NA,,,ARB/04/16,Mobil Exploration and Development Inc. Suc. Argentina & Mobil Argentina SA v. Argentine Republic,NA,n.a.,NA,NA,NA,USA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Oil and gas (gas production),OIL,In excess of $200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,AUS,2011,NA,ALP,1.889,1,NA,pending,NA,NA,,0,NA,,,12/1/2012,Philip Morris Asia Limited v. The Commonwealth of Australia,1,n.a.,NA,NA,NA,HKG,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Australia-Hong Kong BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,AUT,2015,NA,SPO,2.667,1,NA,pending,NA,NA,,0,NA,,,ARB/15/32,Belegging-Maatschappij ???Far East??? v. Austria,1,n.a.,NA,NA,NA,MLT,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Malta BIT,Banking,FIN,EUR200000000 ,165.3,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BEL,2012,NA,PS,1,1,NA,pending,NA,NA,,1,NA,,,ARB/12/29,"Ping An Life Insurance Company of China, Limited and Ping An Insurance (Group) Company of China, Limited v. Kingdom of Belgium",0,n.a.,NA,NA,NA,CHN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-China BIT,Banking,SER,US$2.28b,2280,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BGD,2010,NA,AL,3,1,NA,pending,NA,NA,,0,NA,,,ARB/10/18,"Niko Resources (Bangladesh) Ltd. v. People's Republic of Bangladesh, Bangladesh Petroleum Exploration and Production Company Limited (""Bapex"") and Bangladesh Oil Gas and Mineral Corporation (""Petrobangla"")",1,n.a.,NA,NA,NA,BRB,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,US$35.71m,35.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BGR,2012,NA,GERB,2.937,1,NA,pending,NA,NA,,NA,NA,,,ARB/12/16,"Novera AD, Novera Properties B.V. and Novera Properties N.V. v. Republic of Bulgaria",NA,n.a.,NA,NA,NA,NLD,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Bulgaria-Netherlands BIT,Waste management,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BGR,2013,NA,GERB,3,1,NA,pending,NA,NA,,NA,NA,,,ARB/13/17,EVN AG v. Republic of Bulgaria,NA,n.a.,NA,NA,NA,AUT,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Austria-Bulgaria BIT,?_Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,BOL,2006,MAS,MAS,1.333,1,1,pending,NA,NA,,1,1.204,,,ARB/06/2,Quiborax S.A. and Non-Metallic Minerals S.A. v. Plurinational State of Bolivia,0,n.a.,NA,NA,NA,CHL,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,Bolivia-Chile BIT,Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BOL,2011,NA,MAS,1.333,1,NA,pending,NA,NA,,NA,NA,,,n.a.,Abertis Infraestructuras S.A. v. Government of Bolivia,NA,n.a.,NA,NA,NA,ESP,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Plurinational State of Bolivia-Spain BIT,Transportation (air),UTL,US$90,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BOL,2013,NA,MAS,1.333,1,NA,pending,NA,NA,,NA,NA,,,n.a.,South American Silver Corp v. Bolivia,NA,n.a.,NA,NA,NA,GBR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,UK-Bolivia BIT,Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,BRB,2010,NA,DLP,2,1,NA,pending,NA,NA,,0,NA,,,6/1/2012,Peter A. Allard v. The Government of Barbados,1,n.a.,NA,NA,NA,CAN,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Barbados-Canada BIT,Real Estate,RE,US$35m,35,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,CHN,2014,CCP,CCP,2.8,1,NA,pending,NA,NA,,NA,NA,,,ARB/14/25,"Ansung Housing Co., Ltd. V. People's Republic of China",NA,n.a.,NA,NA,NA,KOR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,China-Korea BIT,Real estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,CYP,2013,NA,AKEL,1.933,1,NA,pending,NA,NA,,NA,NA,,,ARB/13/27,"Marfin Investment Group Holdings S.A., Alexandros Bakatselos and others v. Cyprus",NA,n.a.,NA,NA,NA,GRC,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Greece BIT,Banking,FIN,?_824m,1087,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
pending,CZE,2015,NA,CSSD,1.571,1,NA,pending,NA,NA,,NA,NA,,,n.a.,WCV Capital Ventures Cyprus Limited and Channel Crossings Limited v. The Czech Republic,NA,n.a.,NA,NA,NA,CYP,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Cyprus BIT,Services (gambling),SER,CZK1000m,41.2,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
